Title,Author,Price,Link,Category,ISBN13,Binding,Subject,Publisher,Publisher Imprint,Publication Date,Pages,Original Price,Language,Edition,Item Weight
Volpone,by Ben Jonson,Rs. 158.00,https://atlanticbooks.com/collections/fiction/products/volpone,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,132,INR 225.00,English,N/A,180 grams
Twelfth Night,by William Shakespeare,Rs. 94.00,https://atlanticbooks.com/collections/fiction/products/twelfth-night,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,13-03-2023,108,INR 125.00,English,N/A,820 grams
The Rudyard Kipling Collection,by Rudyard Kipling,Rs. 637.00,https://atlanticbooks.com/collections/fiction/products/the-rudyard-kipling-collection,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,1014,INR 849.00,English,N/A,1118 grams
The Old Man and the Sea,by Ernest Hemingway,Rs. 175.00,https://atlanticbooks.com/collections/fiction/products/the-old-man-and-the-sea,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,11-08-2023,98,INR 250.00,English,N/A,190 grams
Pride And Prejudice,by Jane Austen,Rs. 222.00,https://atlanticbooks.com/collections/fiction/products/pride-and-prejudice,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,02-04-2024,340,INR 295.00,English,N/A,230 grams
Oliver Twist,by Charles Dickens,Rs. 277.00,https://atlanticbooks.com/collections/fiction/products/oliver-twist,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,472,INR 395.00,English,N/A,400 grams
Henry Iv Part One,by William Shakespeare,Rs. 137.00,https://atlanticbooks.com/collections/fiction/products/henry-iv-part-one,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,138,INR 195.00,English,N/A,190 grams
Candide,by Voltaire,Rs. 113.00,https://atlanticbooks.com/collections/fiction/products/candide,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-04-2023,140,INR 150.00,English,N/A,110 grams
The Odyssey,by Homer,Rs. 184.00,https://atlanticbooks.com/collections/fiction/products/the-odyssey-9788124806401,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-01-2025,326,INR 245.00,English,N/A,300 grams
Siddhartha,by Hermann Hesse,Rs. 113.00,https://atlanticbooks.com/collections/fiction/products/siddhartha-9788124806128,Fiction,9.79E+12,Paperback,Religion and Philosophy,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-01-2025,124,INR 150.00,English,N/A,110 grams
